datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2020-06-10,32.1,14.0,80.0,13.1,18.0,1015.6,78.6,230.1
2020-06-11,30.1,13.7,73.6,1.4,14.4,1017.6,90.4,224.2
2020-06-12,28.4,12.5,70.0,1.7,13.3,1017.6,77.4,288.6
2020-06-13,31.2,12.6,68.7,4.8,10.8,1015.0,56.5,243.8
2020-06-14,32.9,11.2,72.6,4.0,10.8,1015.0,64.0,246.2
2020-06-15,32.7,11.5,69.3,0.4,14.4,1016.3,38.0,286.1
2020-06-16,30.7,11.8,61.7,2.0,7.2,1016.0,35.9,319.1
2020-06-17,29.2,12.9,69.8,2.3,18.0,1015.9,57.3,266.3
2020-06-18,30.2,13.1,77.4,11.5,14.4,1014.8,81.4,220.8
2020-06-19,32.1,12.9,70.7,3.3,14.4,1014.4,86.8,279.4
2020-06-20,32.1,15.0,72.4,8.5,7.2,1014.6,88.0,251.8
2020-06-21,30.9,15.1,82.8,18.2,10.8,1016.0,87.0,205.1
2020-06-22,28.2,15.3,85.3,18.9,7.6,1016.7,95.2,180.1
2020-06-23,24.9,12.7,89.5,27.3,10.8,1015.6,94.5,171.2
2020-06-24,23.1,13.6,86.8,35.5,7.2,1015.1,96.8,156.1
2020-06-25,25.7,13.0,89.2,24.9,7.6,1015.3,94.8,137.7
2020-06-26,29.2,12.0,74.8,2.3,9.7,1016.5,69.8,276.6
2020-06-27,31.2,11.2,72.5,2.4,7.2,1015.9,68.1,285.7
2020-06-28,29.7,13.8,73.6,7.5,7.2,1015.1,65.3,250.0
2020-06-29,30.7,14.5,79.4,11.3,6.5,1015.2,70.9,230.8
2020-06-30,26.7,12.8,81.0,9.8,14.4,1015.4,87.7,236.1
2021-06-01,30.9,12.6,75.1,3.3,7.2,1015.5,74.9,252.4
2021-06-02,29.7,14.3,74.6,13.1,7.2,1014.5,77.0,236.9
2021-06-03,27.4,13.4,86.4,8.0,21.6,1015.2,87.1,115.2
2021-06-04,28.7,11.3,81.8,3.7,7.6,1016.0,76.2,241.2
2021-06-05,21.9,13.9,88.5,9.7,9.7,1016.2,91.9,192.7
2021-06-06,26.7,12.6,84.3,13.6,14.4,1015.2,82.8,222.5
2021-06-07,29.7,12.5,82.1,14.1,10.8,1014.9,88.8,220.1
2021-06-08,30.7,13.0,80.3,14.2,7.2,1015.6,87.2,214.5
2021-06-09,30.9,13.3,79.8,15.9,7.2,1016.6,88.2,208.4
